feature,importance
judge_llama-3.3-70b-instruct-turbo_verdicts,0.26398890916728196
judge_claude-3-5-sonnet-latest_verdicts,0.1786799562673634
judge_qwen2.5-72b-instruct-turbo_verdicts,0.08581196392910177
judge_meta-llama-3.1-405b-instruct-turbo_verdicts,0.058465070513446946
judge_gpt-4o_verdicts,0.054911309526795245
grm_gemma_scores,0.03243078166953227
judge_qwen2-72b-instruct_verdicts,0.03060386032130715
grm_llama32_scores,0.029011379705501137
offset_bias_scores,0.028204884237685843
urm_scores,0.025181281843991602
internlm_scores,0.019645138867740775
gpm_scores,0.01950239887420785
qrm_scores,0.019343171952133607
armor_rm_verbosity,0.01918146537295734
grm_scores,0.01846885364954204
skyworks_scores,0.018411359517213604
armor_rm_complexity,0.01744682234996263
armor_rm_score,0.01733629270227084
armor_rm_correctness,0.01536524929290665
armor_rm_helpfulness,0.014419798339217712
armor_rm_coherence,0.014020473750407023
judge_llama-3.1-nemotron-70b-instruct-hf_verdicts,0.00961212032831485
judge_gemma-2-27b-it_verdicts,0.007967590421949057
judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts,0.001989867399168748
judge_mixtral-8x22b-instruct-v0.1_verdicts,0.0
judge_wizardlm-2-8x22b_verdicts,0.0
judge_qwq-32b-preview_verdicts,0.0
