feature,importance
judge_qwen2.5-72b-instruct-turbo_verdicts,0.18979759951325614
judge_gpt-4o_verdicts,0.1110783928498004
internlm_scores,0.10322933782788327
judge_claude-3-5-sonnet-latest_verdicts,0.07889768617803551
urm_scores,0.07157625190895267
armor_rm_correctness,0.04846382359899678
armor_rm_coherence,0.03888813182966754
offset_bias_scores,0.03397725623387547
armor_rm_verbosity,0.033462594662620894
judge_llama-3.3-70b-instruct-turbo_verdicts,0.031090390933463975
qrm_scores,0.03010200592044826
armor_rm_helpfulness,0.029144984368201017
armor_rm_score,0.0272922729782941
grm_llama32_scores,0.02582893120391909
judge_qwen2-72b-instruct_verdicts,0.024044721389397235
armor_rm_complexity,0.020959468589134764
judge_meta-llama-3.1-405b-instruct-turbo_verdicts,0.020046459404114328
skyworks_scores,0.019676058861530003
grm_gemma_scores,0.01963814612430896
gpm_scores,0.01943220386402144
grm_scores,0.0168724839638007
judge_gemma-2-27b-it_verdicts,0.0034614081853884507
judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts,0.003033349416625454
judge_llama-3.1-nemotron-70b-instruct-hf_verdicts,6.040194263445304e-06
judge_qwq-32b-preview_verdicts,0.0
