feature,importance
judge_qwen2.5-72b-instruct-turbo_verdicts,0.20108988754120974
judge_gpt-4o_verdicts,0.11876498293468797
internlm_scores,0.10472201715690718
judge_claude-3-5-sonnet-latest_verdicts,0.08252504199200777
urm_scores,0.07054183125110933
armor_rm_correctness,0.04695016722248125
armor_rm_coherence,0.034626018582165664
judge_llama-3.3-70b-instruct-turbo_verdicts,0.03411824257561792
offset_bias_scores,0.033227122940483196
armor_rm_verbosity,0.03149145093821483
armor_rm_helpfulness,0.02881807136012642
qrm_scores,0.02695146965807544
armor_rm_score,0.02653762867620863
judge_qwen2-72b-instruct_verdicts,0.02602067521435716
grm_llama32_scores,0.02374055410741899
judge_meta-llama-3.1-405b-instruct-turbo_verdicts,0.020058301849062838
grm_gemma_scores,0.017871837609281786
armor_rm_complexity,0.017822447236536514
skyworks_scores,0.016956757033482168
gpm_scores,0.01649455752059783
grm_scores,0.013885807942311104
judge_gemma-2-27b-it_verdicts,0.0038034206107972067
judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts,0.0029707340854072638
judge_llama-3.1-nemotron-70b-instruct-hf_verdicts,7.90739685807286e-06
judge_qwq-32b-preview_verdicts,3.0665645935846007e-06
