feature,importance
judge_llama-3.3-70b-instruct-turbo_verdicts,0.22715240883165752
judge_claude-3-5-sonnet-latest_verdicts,0.1648202741420004
judge_gpt-4o_verdicts,0.07314173123087357
armor_rm_complexity,0.04993463393944364
armor_rm_verbosity,0.045375996393739175
grm_llama32_scores,0.04385239976155611
judge_qwen2.5-72b-instruct-turbo_verdicts,0.043693846972704176
skyworks_scores,0.0405929642850392
gpm_scores,0.03827062693425085
armor_rm_coherence,0.036345290265736636
grm_gemma_scores,0.032397218246905696
internlm_scores,0.026545160076741115
armor_rm_score,0.026085202816969022
armor_rm_helpfulness,0.023619685683114056
judge_meta-llama-3.1-405b-instruct-turbo_verdicts,0.022828368094935395
urm_scores,0.020978102909408554
offset_bias_scores,0.018158434621607655
qrm_scores,0.018030375393708893
armor_rm_correctness,0.01601809033512339
judge_qwen2-72b-instruct_verdicts,0.014261144791730584
grm_scores,0.011713040381481191
judge_gemma-2-27b-it_verdicts,0.005354889792292915
judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts,0.0008301140989803225
judge_qwq-32b-preview_verdicts,0.0
judge_wizardlm-2-8x22b_verdicts,0.0
judge_mixtral-8x22b-instruct-v0.1_verdicts,0.0
judge_llama-3.1-nemotron-70b-instruct-hf_verdicts,0.0
