feature,importance
judge_qwen2.5-72b-instruct-turbo_verdicts,0.2133901531222645
internlm_scores,0.1356662713340081
judge_gpt-4o_verdicts,0.1234802169419504
judge_claude-3-5-sonnet-latest_verdicts,0.10943487378307397
urm_scores,0.09258201783480371
qrm_scores,0.04746129626113712
offset_bias_scores,0.03864920118681073
judge_qwen2-72b-instruct_verdicts,0.037520857664572554
judge_llama-3.3-70b-instruct-turbo_verdicts,0.035870465007580565
grm_llama32_scores,0.03262485494993078
grm_gemma_scores,0.026974278115323918
judge_meta-llama-3.1-405b-instruct-turbo_verdicts,0.026245857145973574
skyworks_scores,0.025418220759349387
gpm_scores,0.021616076766841547
grm_scores,0.020375647372528494
judge_gemma-2-27b-it_verdicts,0.007079243477201443
judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts,0.005545507211044359
judge_llama-3.1-nemotron-70b-instruct-hf_verdicts,3.478019078050511e-05
judge_qwq-32b-preview_verdicts,3.0180874824464916e-05
