problem_idx,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,feature_thresholds,insufficient_data
0,0.862,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6507107615470886), 'grm_scores': np.float64(0.6822725832462311), 'offset_bias_scores': np.float64(0.7981849014759064), 'grm_gemma_scores': np.float64(0.6756428629159927), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.6120006889104843), 'grm_llama32_scores': np.float64(0.7200441360473633), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.5475901365280151), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.7069765627384186), 'skyworks_scores': np.float64(0.7478341609239578), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
1,0.946,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.49028560519218445), 'grm_scores': np.float64(0.7494669556617737), 'offset_bias_scores': np.float64(0.6970836520195007), 'urm_scores': np.float64(0.6430342793464661), 'qrm_scores': np.float64(0.7375504970550537), 'grm_llama32_scores': np.float64(0.7249117195606232), 'gpm_scores': np.float64(0.6248126327991486), 'skyworks_scores': np.float64(0.7443820238113403), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.6504854559898376), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5)}",False
2,0.97,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.517685204744339), 'grm_scores': np.float64(0.6150753200054169), 'offset_bias_scores': np.float64(0.803875207901001), 'grm_gemma_scores': np.float64(0.7778834700584412), 'skyworks_scores': np.float64(0.7143393456935883), 'grm_llama32_scores': np.float64(0.7713813483715057), 'qrm_scores': np.float64(0.8742321580648422), 'gpm_scores': np.float64(0.6844804584980011), 'urm_scores': np.float64(0.8756089806556702), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
3,0.992,1,1.0,1.0,1.0,1,0,0,0,"{'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.40636588633060455), 'urm_scores': np.float64(0.4091826006770134), 'grm_scores': np.float64(0.3661952316761017), 'offset_bias_scores': np.float64(0.5078125149011612), 'skyworks_scores': np.float64(0.47214075922966003), 'internlm_scores': np.float64(0.45321235060691833), 'grm_gemma_scores': np.float64(0.5076627135276794), 'qrm_scores': np.float64(0.5679951608181), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.4923424646258354)}",False
4,0.944,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.7414170801639557), 'gpm_scores': np.float64(0.45271317660808563), 'offset_bias_scores': np.float64(0.7585325539112091), 'internlm_scores': np.float64(0.5621820688247681), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7381048500537872), 'grm_llama32_scores': np.float64(0.6935694366693497), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.6280393451452255), 'urm_scores': np.float64(0.7099143266677856), 'grm_gemma_scores': np.float64(0.7758088111877441), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
5,0.878,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6945120394229889), 'gpm_scores': np.float64(0.5849176049232483), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.7036922872066498), 'grm_gemma_scores': np.float64(0.7242778241634369), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.6937772929668427), 'qrm_scores': np.float64(0.8438909649848938), 'urm_scores': np.float64(0.7218581736087799), 'skyworks_scores': np.float64(0.7931034564971924), 'offset_bias_scores': np.float64(0.7619719207286835), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
6,0.852,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.4629101902246475), 'grm_scores': np.float64(0.7175164520740509), 'gpm_scores': np.float64(0.5555555522441864), 'urm_scores': np.float64(0.7609154880046844), 'skyworks_scores': np.float64(0.7866344600915909), 'qrm_scores': np.float64(0.806041345000267), 'grm_llama32_scores': np.float64(0.7920480966567993), 'offset_bias_scores': np.float64(0.8439357131719589), 'grm_gemma_scores': np.float64(0.8477071225643158), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
7,0.864,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6884964406490326), 'gpm_scores': np.float64(0.5749936997890472), 'grm_scores': np.float64(0.6864644289016724), 'qrm_scores': np.float64(0.8400159180164337), 'grm_gemma_scores': np.float64(0.6996584385633469), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.7490850538015366), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.7689703404903412), 'offset_bias_scores': np.float64(0.8084066808223724), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.780219778418541), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
8,1.0,1,1.0,1.0,1.0,1,0,0,0,"{'offset_bias_scores': np.float64(0.7273111045360565), 'grm_scores': np.float64(0.6288068294525146), 'qrm_scores': np.float64(0.7381614148616791), 'skyworks_scores': np.float64(0.6240846216678619), 'gpm_scores': np.float64(0.38534482568502426), 'grm_gemma_scores': np.float64(0.6827124655246735), 'grm_llama32_scores': np.float64(0.6166924238204956), 'urm_scores': np.float64(0.8360500335693359), 'internlm_scores': np.float64(0.9368421137332916)}",False
9,0.722,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.7193667143583298), 'grm_scores': np.float64(0.6293521821498871), 'offset_bias_scores': np.float64(0.8059400618076324), 'grm_gemma_scores': np.float64(0.7313186824321747), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7479838728904724), 'grm_llama32_scores': np.float64(0.6966423541307449), 'judge_gpt-4o_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.6457709968090057), 'gpm_scores': np.float64(0.5720329731702805), 'internlm_scores': np.float64(0.49754735827445984), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5)}",False
