problem_idx,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,feature_thresholds,insufficient_data
0,0.84,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6447454243898392), 'grm_scores': np.float64(0.6803044676780701), 'offset_bias_scores': np.float64(0.7883608043193817), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.5971683859825134), 'grm_llama32_scores': np.float64(0.7124490737915039), 'qrm_scores': np.float64(0.6805700957775116), 'urm_scores': np.float64(0.5401186347007751), 'grm_gemma_scores': np.float64(0.6671632528305054), 'skyworks_scores': np.float64(0.7520627081394196), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
1,0.96,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.48644841462373734), 'grm_scores': np.float64(0.7318496853113174), 'offset_bias_scores': np.float64(0.6836299747228622), 'grm_gemma_scores': np.float64(0.6645284295082092), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7481273412704468), 'gpm_scores': np.float64(0.6105153858661652), 'grm_llama32_scores': np.float64(0.7454176098108292), 'judge_gpt-4o_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.6077946722507477), 'qrm_scores': np.float64(0.7042510509490967), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
2,0.98,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.513338565826416), 'grm_scores': np.float64(0.6150636821985245), 'offset_bias_scores': np.float64(0.7998749911785126), 'grm_gemma_scores': np.float64(0.794167160987854), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.8605704307556152), 'urm_scores': np.float64(0.8675200045108795), 'grm_llama32_scores': np.float64(0.750998467206955), 'skyworks_scores': np.float64(0.6452702879905701), 'judge_gpt-4o_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.6639668047428131), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
3,1.0,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.4488566219806671), 'gpm_scores': np.float64(0.4136279374361038), 'urm_scores': np.float64(0.48752661049366), 'skyworks_scores': np.float64(0.4173998087644577), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.5275523960590363), 'offset_bias_scores': np.float64(0.503216914832592), 'grm_llama32_scores': np.float64(0.5282450467348099), 'grm_gemma_scores': np.float64(0.6268824934959412), 'grm_scores': np.float64(0.3321547508239746), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5)}",False
4,0.93,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.7625762820243835), 'internlm_scores': np.float64(0.554639533162117), 'offset_bias_scores': np.float64(0.7603577077388763), 'gpm_scores': np.float64(0.4656330794095993), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.691239520907402), 'grm_scores': np.float64(0.6048330366611481), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.7085314840078354), 'grm_gemma_scores': np.float64(0.792802631855011), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7032257914543152), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
5,0.93,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6857258677482605), 'skyworks_scores': np.float64(0.7863300442695618), 'gpm_scores': np.float64(0.5855513364076614), 'grm_gemma_scores': np.float64(0.7208698391914368), 'grm_llama32_scores': np.float64(0.7021522223949432), 'offset_bias_scores': np.float64(0.7559859454631805), 'grm_scores': np.float64(0.6947910189628601), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.7111656963825226), 'qrm_scores': np.float64(0.8450583517551422), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5)}",False
6,0.9,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.4607297107577324), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.5555555522441864), 'qrm_scores': np.float64(0.8217410147190094), 'grm_scores': np.float64(0.7185444235801697), 'judge_gpt-4o_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.762298971414566), 'skyworks_scores': np.float64(0.7805958092212677), 'grm_llama32_scores': np.float64(0.7807077467441559), 'grm_gemma_scores': np.float64(0.8460135459899902), 'offset_bias_scores': np.float64(0.8396492898464203), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
7,0.87,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.7091808617115021), 'gpm_scores': np.float64(0.5599949508905411), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.7225224077701569), 'skyworks_scores': np.float64(0.7730082422494888), 'offset_bias_scores': np.float64(0.8030384480953217), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.7546744048595428), 'grm_scores': np.float64(0.7116413563489914), 'grm_llama32_scores': np.float64(0.7631386369466782), 'qrm_scores': np.float64(0.8316951096057892), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5)}",False
8,1.0,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.9368421137332916), 'offset_bias_scores': np.float64(0.7267633080482483), 'skyworks_scores': np.float64(0.6240846216678619), 'qrm_scores': np.float64(0.7459295690059662), 'grm_scores': np.float64(0.6277769505977631), 'gpm_scores': np.float64(0.3844827562570572), 'urm_scores': np.float64(0.8370914310216904), 'grm_llama32_scores': np.float64(0.6166924238204956), 'grm_gemma_scores': np.float64(0.6825340390205383), 'judge_llama-3.1-nemotron-70b-instruct-hf_verdicts': np.float64(0.5)}",False
9,0.75,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.7277241498231888), 'grm_scores': np.float64(0.6243723034858704), 'grm_gemma_scores': np.float64(0.7314102500677109), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7346774339675903), 'grm_llama32_scores': np.float64(0.7049058079719543), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.5733046382665634), 'offset_bias_scores': np.float64(0.8075841963291168), 'urm_scores': np.float64(0.6457153111696243), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'internlm_scores': np.float64(0.47813768684864044), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
